"invoice_id,client_id,project_id,invoice_date,due_date,total_hours,total_amount,payment_status,paid_date"
"INV-20001,CLI-5001,PRJ-8001,2020-03-01,2020-03-31,320,256000,Paid,2020-03-28"
"INV-20002,CLI-5002 ,PRJ-8002,2020-05-01,2020-05-31,280,168000,Paid,2020-05-25"
"INV-20003,CLI-5003,PRJ-8003,2020-08-01,2020-08-31,450,270000,Paid,2020-08-30"
"INV-20004,CLI-5004,PRJ-8004,2020-11-01,,240,144000,Pending,"
"INV-20005,CLI-5005 ,PRJ-8005,2021-03-01,2021-03-31,520,312000,Paid,2021-03-29"
"INV-20006,CLI-5006,PRJ-8006,2021-05-01,2021-05-31,180,108000,Paid,2021-05-22"
"INV-20007,CLI-5007,PRJ-8007,2021-07-01,2021-07-31,385,231000,paid,2021-07-28"
"INV-20008,CLI-5008,PRJ-8008,2021-09-01,2021-09-30,125,75000,On Hold,"
"INV-20009,CLI-5009 ,PRJ-8009,2021-12-01,2021-12-31,680,408000,Paid,2021-12-30"
"INV-20010,CLI-5010,PRJ-8010,2022-03-01,2022-03-31,295,177000,Paid,2022-03-25"
"INV-20011,CLI-5011,PRJ-8011,2022-05-01,2022-05-31,410,246000,Paid,2022-05-27"
"INV-20012,CLI-5012 ,PRJ-8012,2022-07-01,,95,57000,Cancelled,"
"INV-20013,CLI-5013,PRJ-8013,2022-10-01,2022-10-31,185,111000,Paid,2022-10-29"
"INV-20014,CLI-5014,PRJ-8014,2022-12-01,2022-12-31,550,330000,Paid,2022-12-28"
"INV-20015,CLI-5015,PRJ-8015,2023-03-01,2023-03-31,160,96000,Paid,2023-03-26"
"INV-20016,CLI-5016 ,PRJ-8016,2023-05-01,2023-05-31,720,432000,Pending,"
"INV-20017,CLI-5017,PRJ-8017,2023-07-01,2023-07-31,285,171000,Paid,2023-07-30"
"INV-20018,CLI-5018,PRJ-8018,2023-09-01,2023-09-30,220,132000,Paid,2023-09-28"
"INV-20019,CLI-5019 ,PRJ-8019,2023-11-01,2023-11-30,340,204000,overdue,"
"INV-20020,CLI-5020,PRJ-8020,2024-01-01,2024-01-31,295,177000,Pending,"
"INV-20021,CLI-5001,PRJ-8021,2021-04-01,2021-04-30,175,105000,Paid,2021-04-27"
"INV-20022,CLI-5002,PRJ-8022,2021-10-01,2021-10-31,240,144000,Paid,2021-10-25"
"INV-20023,CLI-5003 ,PRJ-8023,2022-02-01,2022-02-28,315,189000,Paid,2022-02-26"
"INV-20024,CLI-5004,PRJ-8024,2022-06-01,2022-06-30,380,228000,Paid,2022-06-29"
"INV-20025,CLI-5005,PRJ-8025,2022-09-01,2022-09-30,495,297000,Paid,2022-09-27"
"INV-20026,CLI-5006 ,PRJ-8026,2022-12-01,,155,93000,On Hold,"
"INV-20027,CLI-5007,PRJ-8027,2023-02-01,2023-02-28,285,171000,Paid,2023-02-25"
"INV-20028,CLI-5008,PRJ-8028,2023-05-01,2023-05-31,190,114000,Paid,2023-05-28"
"INV-20029,CLI-5009,PRJ-8029,2023-08-01,2023-08-31,455,273000,Paid,2023-08-30"
"INV-20030,CLI-5010 ,PRJ-8030,2023-11-01,2023-11-30,225,135000,Pending,"
"INV-20031,CLI-5011,PRJ-8031,2024-02-01,2024-02-29,360,216000,Pending,"
"INV-20032,CLI-5003,PRJ-8032,2023-06-01,2023-06-30,375,225000,Paid,2023-06-28"
"INV-20033,CLI-5001 ,PRJ-8033,2022-10-01,2022-10-31,145,87000,Paid,2022-10-26"
"INV-20034,CLI-5014,PRJ-8034,2023-03-01,2023-03-31,475,285000,Paid,2023-03-29"
"INV-20035,CLI-5016,PRJ-8035,2023-10-01,2023-10-31,580,348000,Overdue,"
"INV-20036,CLI-5009 ,PRJ-8036,2022-05-01,2022-05-31,625,375000,Paid,2022-05-30"
"INV-20037,CLI-5005,PRJ-8037,2023-12-01,2023-12-31,295,177000,Pending,"
"INV-20038,CLI-5017,PRJ-8038,2024-02-01,2024-02-29,245,147000,Pending,"
"INV-20039,CLI-5018,PRJ-8039,2024-03-01,2024-03-31,190,114000,Pending,"
"INV-20040,CLI-5020 ,PRJ-8040,2024-02-01,2024-02-29,155,93000,Pending,"
"INV-20041,CLI-5001,PRJ-8001,2020-04-01,2020-04-30,280,168000,Paid,2020-04-25"
"INV-20042,CLI-5002,PRJ-8002,2020-06-01,2020-06-30,315,189000,Paid,2020-06-27"
"INV-20043,CLI-5003 ,PRJ-8003,2020-09-01,2020-09-30,395,237000,Paid,2020-09-28"
"INV-20044,CLI-5005,PRJ-8005,2021-04-01,2021-04-30,460,276000,Paid,2021-04-29"
"INV-20045,CLI-5006,PRJ-8006,2021-06-01,2021-06-30,205,123000,Paid,2021-06-25"
"INV-20046,CLI-5007 ,PRJ-8007,2021-08-01,2021-08-31,345,207000,Paid,2021-08-30"
"INV-20047,CLI-5009,PRJ-8009,2022-01-01,2022-01-31,590,354000,Paid,2022-01-28"
"INV-20048,CLI-5010,PRJ-8010,2022-04-01,2022-04-30,270,162000,Paid,2022-04-26"
"INV-20049,CLI-5014 ,PRJ-8014,2023-01-01,2023-01-31,485,291000,Paid,2023-01-30"
"INV-20050,CLI-5015,PRJ-8015,2023-04-01,2023-04-31,175,105000,Paid,2023-04-10"
