"client_id,client_name,industry,country,annual_revenue,contract_value,tier,onboarded_date"
"CLI-5001,Global Tech Solutions,Technology,USA,15000,2500000,Platinum,2020-01-15"
"CLI-5002,MedHealth Systems ,Healthcare,UK,8500,1200000,Gold,2020-03-22"
"CLI-5003, Premier Finance Group,Finance,Singapore,12000,1800000,Platinum,2020-06-10"
"CLI-5004,RetailMax Corporation,Retail,USA,6000,950000,Gold,2020-09-05"
"CLI-5005,Energy Dynamics Inc,Energy,UAE,18000,3200000,Platinum,2021-01-12"
"CLI-5006,AutoMakers International,Manufacturing,USA,,850000,Silver,2021-03-18"
"CLI-5007,BioPharm Industries,healthcare,UK,9200,1500000,Gold,2021-05-25"
"CLI-5008,Digital Commerce Co ,Technology,Singapore,4500,680000,Silver,2021-07-30"
"CLI-5009,Investment Holdings Ltd,Finance,UK,22000,4100000,Platinum,2021-10-08"
"CLI-5010,Consumer Goods Group,Retail,USA,7800,1100000,Gold,2022-01-20"
"CLI-5011,Renewable Energy Corp,energy,UAE,11000,1900000,Platinum,2022-03-15"
"CLI-5012,TechStartup Ventures,Technology,Singapore,,450000,Silver,2022-05-28"
"CLI-5013,Healthcare Partners ,Healthcare,USA,5200,720000,Silver,2022-08-10"
"CLI-5014,Banking Solutions Inc,Finance,UK,16500,2800000,Platinum,2022-10-22"
"CLI-5015,Fashion Retail Empire,Retail,UAE,3800,580000,Silver,2023-01-05"
"CLI-5016,Offshore Oil & Gas,Energy,UAE,25000,5200000,Platinum,2023-03-12"
"CLI-5017,Cloud Systems Corp,technology,USA,8900,1350000,Gold,2023-05-18"
"CLI-5018, Medical Devices Inc,Healthcare,Singapore,6700,980000,Gold,2023-07-25"
"CLI-5019,Wealth Management Co,Finance,UK,,1650000,Gold,2023-09-30"
"CLI-5020,E-Commerce Platforms,Retail,USA,9500,1420000,Gold,2023-11-15"
