"assignment_id,project_id,consultant_id,role_on_project,allocation_percentage,start_date,end_date"
"ASGN-7001,PRJ-8001,CON-1001,Lead,50%,2020-02-01,2020-08-31"
"ASGN-7002,PRJ-8001 ,CON-1009,Junior,100%,2020-02-01,2020-08-31"
"ASGN-7003,PRJ-8002,CON-1002,Lead,50%,2020-04-15,2020-12-15"
"ASGN-7004,PRJ-8002,CON-1010,Junior,100%,2020-04-15,2020-12-15"
"ASGN-7005,PRJ-8003,CON-1003 ,Lead,75%,2020-07-01,2021-01-31"
"ASGN-7006,PRJ-8003,CON-1011,Junior,100%,2020-07-01,2021-01-31"
"ASGN-7007,PRJ-8004,CON-1004,Lead,50%,2020-10-01,"
"ASGN-7008,PRJ-8004,CON-1012,Junior,100%,2020-10-01,"
"ASGN-7009,PRJ-8005 ,CON-1001,Lead,75%,2021-02-01,2021-09-30"
"ASGN-7010,PRJ-8005,CON-1013,Senior,50%,2021-02-01,2021-09-30"
"ASGN-7011,PRJ-8006,CON-1014,Lead,50%,2021-04-01,2021-11-30"
"ASGN-7012,PRJ-8007,CON-1015,Lead,75%,2021-06-15,2022-03-31"
"ASGN-7013,PRJ-8008 ,CON-1016,Senior,50%,2021-08-01,"
"ASGN-7014,PRJ-8009,CON-1002,Lead,100%,2021-11-01,2022-06-30"
"ASGN-7015,PRJ-8009,CON-1017,Senior,75%,2021-11-01,2022-06-30"
"ASGN-7016,PRJ-8010,CON-1018,Senior,50%,2022-02-15,2022-10-31"
"ASGN-7017,PRJ-8011 ,CON-1003,Lead,50%,2022-04-01,2022-12-31"
"ASGN-7018,PRJ-8011,CON-1019,Junior,100%,2022-04-01,2022-12-31"
"ASGN-7019,PRJ-8012,CON-1020,Junior,75%,2022-06-01,2022-09-30"
"ASGN-7020,PRJ-8013,CON-1004 ,Lead,50%,2022-09-01,2023-04-30"
"ASGN-7021,PRJ-8014,CON-1014,Lead,75%,2022-11-01,2023-08-31"
"ASGN-7022,PRJ-8014,CON-1022,Analyst,100%,2022-11-01,2023-08-31"
"ASGN-7023,PRJ-8015,CON-1023,Analyst,75%,2023-02-01,2023-09-30"
"ASGN-7024,PRJ-8016 ,CON-1024,Lead,100%,2023-04-01,"
"ASGN-7025,PRJ-8016,CON-1009,Junior,50%,2023-04-01,"
"ASGN-7026,PRJ-8017,CON-1025,Lead,75%,2023-06-01,2024-02-28"
"ASGN-7027,PRJ-8017,CON-1010,Junior,100%,2023-06-01,2024-02-28"
"ASGN-7028,PRJ-8018 ,CON-1026,Lead,50%,2023-08-15,2024-03-15"
"ASGN-7029,PRJ-8018,CON-1011,Junior,100%,2023-08-15,2024-03-15"
"ASGN-7030,PRJ-8019,CON-1027,Senior,75%,2023-10-01,"
"ASGN-7031,PRJ-8020,CON-1028,Senior,50%,2023-12-01,2024-06-30"
"ASGN-7032,PRJ-8021 ,CON-1001,Lead,25%,2021-03-01,2021-07-31"
"ASGN-7033,PRJ-8021,CON-1025,Senior,50%,2021-03-01,2021-07-31"
"ASGN-7034,PRJ-8022,CON-1002,Lead,50%,2021-09-01,2022-03-31"
