"timesheet_id,consultant_id,project_id,work_date,hours_worked,billable,activity_description,submitted_date"
"TS-10001,CON-1009,PRJ-8001,2020-02-15,8,Yes,Client requirements gathering,2020-02-16"
"TS-10002,CON-1010 ,PRJ-8002,2020-04-20,7.5,yes,System analysis,2020-04-21"
"TS-10003,CON-1011,PRJ-8003,2020-07-10,8,Y,Risk assessment workshop,2020-07-11"
"TS-10004,CON-1012,PRJ-8004,2020-10-05,6,Yes,Process mapping,2020-10-06"
"TS-10005,CON-1009,PRJ-8001,2020-03-01,9,Yes,Technical documentation,2020-03-02"
"TS-10006,CON-1013,PRJ-8005,2021-02-15,8,yes,Strategy development,2021-02-16"
"TS-10007,CON-1014 ,PRJ-8006,2021-04-10,7,Yes,Process review,2021-04-11"
"TS-10008,CON-1015,PRJ-8007,2021-06-20,8.5,Y,Integration planning,2021-06-21"
"TS-10009,CON-1016,PRJ-8008,2021-08-15,8,Yes,Cloud architecture design,2021-08-16"
"TS-10010,CON-1017,PRJ-8009,2021-11-10,10,yes,Portfolio analysis,2021-11-11"
"TS-10011,CON-1018,PRJ-8010,2022-02-20,8,Yes,Customer journey mapping,2022-02-21"
"TS-10012,CON-1019 ,PRJ-8011,2022-04-15,7.5,Y,Sustainability assessment,2022-04-16"
"TS-10013,CON-1020,PRJ-8012,2022-06-10,6,Yes,Product roadmap planning,2022-06-11"
"TS-10014,CON-1021,PRJ-8013,2022-09-05,8,No,Financial analysis,2022-09-06"
"TS-10015,CON-1022,PRJ-8014,2022-11-15,8.5,yes,Platform requirements,2022-11-16"
"TS-10016,CON-1023,PRJ-8015,2023-02-10,7,Yes,Channel strategy,2023-02-11"
"TS-10017,CON-1009 ,PRJ-8016,2023-04-20,16,Y,Process optimization,2023-04-21"
"TS-10018,CON-1010,PRJ-8017,2023-06-15,8,Yes,AI model training,2023-06-16"
"TS-10019,CON-1011,PRJ-8018,2023-08-25,9,yes,Market research,2023-08-26"
"TS-10020,CON-1012,PRJ-8019,2023-10-10,8,Yes,Platform design,2023-10-11"
"TS-10021,CON-1024 ,PRJ-8020,2023-12-05,7.5,Y,Growth analysis,2023-12-06"
"TS-10022,CON-1025,PRJ-8021,2021-03-15,8,Yes,Security audit,2021-03-16"
"TS-10023,CON-1026,PRJ-8022,2021-09-10,6.5,yes,Telemedicine requirements,2021-09-11"
"TS-10024,CON-1027,PRJ-8023,2022-01-20,8,Yes,Compliance review,2022-01-21"
"TS-10025,CON-1028 ,PRJ-8024,2022-05-15,20,Y,Platform development,2022-05-16"
"TS-10026,CON-1029,PRJ-8025,2022-08-10,8,Yes,Org design,2022-08-11"
"TS-10027,CON-1030,PRJ-8026,2022-11-20,7,yes,Quality assessment,2022-11-21"
"TS-10028,CON-1031,PRJ-8027,2023-01-25,8.5,Yes,Trial protocol review,2023-01-26"
"TS-10029,CON-1032 ,PRJ-8028,2023-04-15,8,Y,Data pipeline design,2023-04-16"
"TS-10030,CON-1033,PRJ-8029,2023-07-20,9,yes,ESG framework,2023-07-21"
"TS-10031,CON-1034,PRJ-8030,2023-10-15,8,Yes,Program design,2023-10-16"
"TS-10032,CON-1035,PRJ-8031,2024-01-10,7.5,Y,Carbon assessment,2024-01-11"
"TS-10033,CON-1036 ,PRJ-8032,2023-05-15,8,yes,Investment analysis,2023-05-16"
"TS-10034,CON-1037,PRJ-8033,2022-09-20,6,Yes,Cost analysis,2022-09-21"
"TS-10035,CON-1038,PRJ-8034,2023-02-15,8.5,Y,AML procedures,2023-02-16"
"TS-10036,CON-1039,PRJ-8035,2023-09-10,8,yes,Safety audit,2023-09-11"
"TS-10037,CON-1040 ,PRJ-8036,2022-04-20,12,Yes,Due diligence,2022-04-21"
"TS-10038,CON-1041,PRJ-8037,2023-11-15,8,Y,Innovation workshop,2023-11-16"
